strategy_entropy,avg_branching_factor,unique_paths,question_id
3.322,2.556,10,0
2.922,3.2,8,1
3.122,3.5,9,2
3.122,3.8,9,3
3.322,3.714,10,4
3.322,3.889,10,5
3.322,3.091,10,6
3.322,4.0,10,7
3.322,3.182,10,8
3.322,3.923,10,9
3.322,3.429,10,10
2.846,2.875,8,11
3.322,3.8,10,12
3.322,3.583,10,13
3.322,2.769,10,14
3.322,2.684,10,15
3.322,3.25,10,16
3.122,4.091,9,17
3.322,3.6,10,18
3.322,3.158,10,19
3.322,3.857,10,20
3.322,4.222,10,21
3.122,2.143,9,22
3.322,3.571,10,23
3.122,3.625,9,24
3.322,3.125,10,25
3.122,4.429,9,26
3.322,3.333,10,27
3.322,3.8,10,28
3.322,3.4,10,29
3.322,3.867,10,30
3.322,3.75,10,31
3.122,3.25,9,32
3.322,2.625,10,33
3.322,4.143,10,34
3.322,4.5,10,35
3.322,3.0,10,36
3.322,3.5,10,37
3.322,3.0,10,38
3.322,4.067,10,39
3.322,2.667,10,40
3.322,4.0,10,41
3.322,3.5,10,42
3.322,3.571,10,43
3.322,4.154,10,44
3.122,2.833,9,45
3.322,3.3,10,46
2.922,3.444,8,47
3.322,2.6,10,48
2.922,2.778,8,49
