strategy_entropy,avg_branching_factor,unique_paths,question_id
5.604,4.739,49,0
5.644,3.964,50,1
5.644,6.156,50,2
5.509,4.917,47,3
5.644,7.061,50,4
5.644,6.158,50,5
5.644,3.886,50,6
5.644,7.472,50,7
5.644,6.78,50,8
5.644,5.347,50,9
5.484,5.028,47,10
5.644,4.682,50,11
5.644,6.053,50,12
5.644,5.593,50,13
5.644,4.13,50,14
5.644,6.355,50,15
5.644,6.122,50,16
5.644,5.0,50,17
5.644,5.929,50,18
5.644,7.048,50,19
5.644,6.756,50,20
5.644,6.077,50,21
5.604,5.0,49,22
5.644,5.742,50,23
5.644,5.587,50,24
5.644,5.8,50,25
5.644,4.25,50,26
5.644,5.444,50,27
5.644,6.333,50,28
5.644,6.0,50,29
5.644,4.098,50,30
5.644,5.282,50,31
5.644,4.909,50,32
5.644,5.379,50,33
5.604,4.815,49,34
5.644,5.375,50,35
5.644,5.367,50,36
5.644,5.622,50,37
5.644,5.358,50,38
5.644,4.304,50,39
5.644,4.676,50,40
5.644,6.222,50,41
5.644,6.464,50,42
5.644,5.745,50,43
5.644,4.909,50,44
5.412,4.225,46,45
5.644,6.542,50,46
5.644,4.974,50,47
5.644,5.37,50,48
5.372,4.289,45,49
