strategy_entropy,avg_branching_factor,unique_paths,question_id
5.644,4.25,50,0
4.829,4.474,36,1
5.644,4.129,50,2
5.349,4.706,43,3
5.644,5.385,50,4
5.644,4.472,50,5
4.873,4.207,38,6
5.644,4.964,50,7
5.644,4.818,50,8
5.454,4.763,46,9
4.886,4.0,36,10
5.051,4.029,40,11
5.644,5.484,50,12
5.644,4.125,50,13
4.465,3.355,31,14
5.644,6.031,50,15
5.564,3.545,48,16
5.564,5.025,48,17
5.469,4.333,46,18
5.644,5.673,50,19
5.644,4.41,50,20
5.604,4.931,49,21
5.046,4.19,38,22
5.564,4.333,48,23
5.604,4.275,49,24
5.564,4.333,48,25
5.404,3.941,45,26
5.549,4.107,48,27
5.644,5.583,50,28
5.644,4.056,50,29
5.604,4.444,49,30
5.644,5.057,50,31
5.524,3.462,47,32
5.644,4.765,50,33
5.524,3.889,47,34
5.644,4.696,50,35
5.564,4.24,48,36
5.644,4.0,50,37
5.644,4.231,50,38
5.644,5.46,50,39
5.644,4.182,50,40
5.644,6.25,50,41
5.244,4.0,42,42
5.604,5.119,49,43
5.604,5.079,49,44
4.899,3.676,39,45
5.644,3.894,50,46
5.484,3.85,46,47
5.374,3.636,44,48
5.349,3.735,44,49
