strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
3.322,4.446,0.0053,0.0358,10,0
3.322,6.111,0.0077,0.0429,10,1
3.322,4.639,0.0167,0.0239,10,2
3.322,3.415,0.0123,0.058,10,3
3.322,5.36,0.0187,0.0241,10,4
3.322,4.506,0.0214,0.0383,10,5
3.322,3.8,0.0802,0.0803,10,6
3.322,3.5,0.0214,0.0512,10,7
3.322,4.649,0.0197,0.0277,10,8
3.322,4.945,0.0098,0.0433,10,9
3.322,4.452,0.0202,0.0229,10,10
3.322,3.923,0.0424,0.1783,10,11
3.322,3.667,0.0671,0.0899,10,12
3.322,3.586,0.0184,0.0817,10,13
3.322,3.214,0.0897,0.2022,10,14
3.322,4.524,0.0177,0.0309,10,15
3.322,3.69,0.0292,0.0567,10,16
3.322,3.725,0.014,0.049,10,17
3.322,5.659,0.0093,0.0298,10,18
3.322,5.805,0.0321,0.0489,10,19
3.322,4.765,0.0114,0.0416,10,20
3.322,4.946,0.0722,0.0428,10,21
3.322,4.602,0.0102,0.0252,10,22
3.322,5.186,0.0006,0.047,10,23
3.322,4.13,0.0113,0.0356,10,24
3.322,6.323,0.0061,0.0201,10,25
3.322,5.061,0.0273,0.0393,10,26
3.322,3.533,0.043,0.1002,10,27
3.322,3.406,0.0291,0.035,10,28
3.322,3.375,0.1002,0.4092,10,29
3.322,4.306,0.0147,0.0249,10,30
3.322,4.316,0.0786,0.0786,10,31
3.322,3.875,0.0032,0.045,10,32
3.322,4.81,0.0161,0.0219,10,33
3.322,6.188,0.0126,0.0417,10,34
3.322,3.792,0.0376,0.0544,10,35
3.322,4.402,0.0211,0.0247,10,36
3.322,6.125,0.01,0.074,10,37
3.322,3.867,0.0631,0.0482,10,38
3.322,3.95,0.0372,0.0644,10,39
3.322,6.125,0.0137,0.0547,10,40
3.322,4.773,0.0027,0.0505,10,41
3.322,4.182,0.014,0.0313,10,42
3.322,4.217,0.0226,0.0401,10,43
3.322,4.143,0.0143,0.0251,10,44
3.322,4.327,0.0113,0.035,10,45
3.322,4.303,0.011,0.0335,10,46
3.322,4.0,0.0716,0.1289,10,47
3.322,4.5,0.0092,0.0223,10,48
3.322,3.982,0.0108,0.052,10,49
