strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
3.322,2.55,0.0,0.0994,10,0
3.322,4.0,0.0082,0.1552,10,1
3.322,3.769,0.0,0.1273,10,2
3.322,3.6,0.0,0.1364,10,3
3.322,3.05,0.1481,0.109,10,4
3.322,2.808,0.0576,0.1148,10,5
3.322,2.974,0.0513,0.0625,10,6
3.322,2.806,0.034,0.1142,10,7
3.322,2.9,0.0589,0.0705,10,8
3.322,2.786,0.0742,0.1179,10,9
3.322,2.708,0.0256,0.0855,10,10
3.322,3.429,0.0691,0.1359,10,11
3.322,3.526,0.0,0.0355,10,12
3.122,3.1,0.0,0.1402,9,13
3.322,3.667,0.0611,0.2556,10,14
3.322,2.929,0.0,0.1093,10,15
3.322,2.714,0.0,0.1347,10,16
3.322,3.5,0.1031,0.0774,10,17
3.322,3.133,0.0,0.1168,10,18
3.122,2.364,0.0,0.1754,9,19
3.322,2.684,0.0355,0.0964,10,20
3.322,3.167,0.0,0.0565,10,21
3.322,3.357,0.0416,0.1189,10,22
3.322,3.714,0.0,0.1622,10,23
3.122,3.0,0.0,0.0879,9,24
3.322,3.235,0.0368,0.0723,10,25
3.322,3.278,0.22,0.0732,10,26
3.322,3.312,0.1197,0.1395,10,27
3.322,2.667,0.0364,0.1447,10,28
3.322,2.5,0.1752,0.2152,10,29
3.322,2.97,0.0715,0.0659,10,30
3.322,3.133,0.0714,0.1207,10,31
3.322,3.5,0.0,0.0793,10,32
3.322,3.03,0.0195,0.0882,10,33
3.322,3.211,0.0549,0.1041,10,34
3.322,3.0,0.0048,0.099,10,35
3.322,4.0,0.0,0.1167,10,36
3.322,2.5,0.0,0.1644,10,37
3.322,3.714,0.096,0.1881,10,38
3.322,2.857,0.1305,0.1247,10,39
3.322,3.444,0.0,0.1016,10,40
3.322,2.8,0.0,0.1318,10,41
3.322,3.4,0.0478,0.052,10,42
3.322,3.087,0.0582,0.0904,10,43
3.322,3.235,0.041,0.1522,10,44
3.322,2.778,0.0369,0.0924,10,45
3.322,4.0,0.0904,0.0774,10,46
3.322,3.615,0.1075,0.1359,10,47
3.322,3.294,0.1259,0.1225,10,48
3.322,2.75,0.0024,0.1516,10,49
