strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
3.322,3.5,0.0,0.4667,10,0
3.122,3.0,0.0,0.0,9,1
3.322,2.923,0.0748,0.1089,10,2
3.322,2.625,0.0602,0.5278,10,3
3.322,3.769,0.0419,0.0954,10,4
3.322,3.312,0.0479,0.2426,10,5
3.322,3.556,0.0,0.1215,10,6
3.322,3.933,0.0431,0.2246,10,7
3.322,3.923,0.0176,0.1421,10,8
3.322,3.846,0.0662,0.1364,10,9
3.322,3.167,0.0722,0.2583,10,10
3.322,2.722,0.0636,0.1963,10,11
3.322,3.0,0.0628,0.1517,10,12
3.322,3.118,0.0593,0.1138,10,13
3.122,3.8,0.1556,0.1315,9,14
3.322,3.25,0.1412,0.2778,10,15
2.846,3.75,0.0,0.4167,8,16
3.322,2.917,0.0505,0.0786,10,17
3.322,2.818,0.0335,0.0755,10,18
3.322,3.211,0.0476,0.1055,10,19
3.322,4.455,0.0488,0.1727,10,20
3.322,3.364,0.0177,0.1692,10,21
3.122,2.889,0.044,0.1516,9,22
3.322,2.8,0.0682,0.0663,10,23
3.122,3.071,0.0139,0.0897,9,24
3.322,2.714,0.0608,0.1488,10,25
3.322,3.222,0.0489,0.1668,10,26
3.322,3.111,0.0831,0.2208,10,27
3.322,2.571,0.0,0.0946,10,28
3.322,2.571,0.0165,0.1429,10,29
3.322,3.412,0.0397,0.3181,10,30
3.122,3.833,0.1722,0.1472,9,31
3.122,2.625,0.0159,0.2679,9,32
3.322,2.647,0.041,0.0642,10,33
3.122,3.143,0.0516,0.1825,9,34
3.322,3.444,0.2083,0.0197,10,35
3.322,3.625,0.0818,0.2454,10,36
3.322,3.077,0.0556,0.1131,10,37
3.322,2.706,0.0457,0.311,10,38
3.322,3.25,0.0394,0.1047,10,39
3.322,2.538,0.0778,0.2303,10,40
3.322,3.25,0.1429,0.2024,10,41
3.322,4.222,0.0301,0.1771,10,42
3.322,4.5,0.0167,0.1345,10,43
3.322,3.111,0.0463,0.1562,10,44
3.322,3.667,0.1528,0.0903,10,45
3.322,3.0,0.0678,0.1414,10,46
3.322,4.0,0.0363,0.2456,10,47
3.122,3.833,0.0,0.1417,9,48
3.322,3.429,0.0634,0.1212,10,49
3.322,3.308,0.0454,0.0862,10,50
3.322,3.0,0.0589,0.2902,10,51
3.322,2.778,0.0741,0.1111,10,52
3.322,4.667,0.0,0.1852,10,53
3.322,2.0,0.0,0.2009,10,54
3.122,2.7,0.0,0.0287,9,55
3.322,2.889,0.0949,0.228,10,56
