strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
2.322,2.4,0.0667,0.2,6,0
2.371,3.0,0.0,0.0,6,1
2.646,1.833,0.0667,0.95,7,2
1.157,1.0,0.0,0.0,3,3
1.571,1.333,0.0,0.1667,4,4
1.571,3.0,0.0,0.0,4,5
0.971,0.0,0.0,0.0,2,6
3.322,2.889,0.1056,0.3259,10,7
3.322,3.417,0.0659,0.2327,10,8
0.922,2.0,0.1667,0.4167,3,9
0.722,1.0,0.0,0.0,2,10
2.846,2.5,0.2083,0.0,8,11
1.722,1.714,0.0889,0.35,4,12
1.157,0.0,0.0,0.0,3,13
3.322,3.333,0.0848,0.0982,10,14
2.522,2.4,0.0833,0.0833,7,15
0.922,2.0,0.0,0.0,3,16
0.469,1.0,0.0,0.0,2,17
2.161,2.6,0.0,0.0,6,18
1.895,2.0,0.0,0.0,4,19
3.322,3.545,0.1031,0.3574,10,20
2.122,2.0,0.0,0.375,5,21
0.469,1.5,0.0,0.0,2,22
0.469,1.333,0.3333,0.0,2,23
1.685,1.333,0.0,0.05,4,24
2.646,1.889,0.1481,0.2083,7,25
2.046,1.25,0.3333,0.0,5,26
2.646,1.0,0.0833,0.0,7,27
1.961,2.0,0.0,0.0833,5,28
1.295,0.0,0.0,0.0,3,29
0.0,0.0,0.0,0.0,1,30
0.881,0.0,0.0,0.0,2,31
1.157,1.5,0.0833,0.6667,3,32
2.046,1.615,0.1727,0.2235,5,33
0.469,1.5,0.0,0.8333,2,34
1.961,1.429,0.1333,0.1,5,35
0.922,1.4,0.1,0.0,3,36
2.646,2.143,0.0,0.2321,7,37
1.961,2.0,0.0714,0.8571,5,38
2.646,2.538,0.0876,0.3264,7,39
1.571,1.667,0.0,0.0,4,40
1.357,1.5,0.0,0.1667,4,41
2.922,1.714,0.0476,0.0238,8,42
1.361,0.0,0.0,0.0,3,43
1.771,1.75,0.3333,0.25,5,44
2.371,2.4,0.0778,0.2167,6,45
2.646,2.333,0.0,0.1262,7,46
2.161,1.9,0.0,0.5,6,47
2.161,2.0,0.0,0.025,6,48
2.522,1.625,0.0694,0.0,7,49
0.922,1.714,0.1333,0.4333,3,50
1.961,1.0,0.0,0.0,5,51
2.522,2.4,0.3,0.0,7,52
2.922,2.75,0.0,0.05,8,53
1.961,3.0,0.0,0.0,5,54
0.922,1.333,0.0,0.0,3,55
1.685,1.25,0.0,0.0,4,56
1.571,0.0,0.0,0.0,4,57
1.771,2.0,0.0625,0.3333,5,58
0.922,1.667,0.0,0.0,3,59
1.357,1.667,0.0,0.5,4,60
1.846,1.0,0.0,0.0,4,61
2.046,2.2,0.0375,0.1833,5,62
0.922,1.75,0.0,0.8333,3,63
2.922,2.0,0.0,0.0833,8,64
2.161,2.0,0.1,0.7,6,65
2.446,2.0,0.0,0.0,6,66
2.322,2.0,0.0,0.5,6,67
0.469,0.0,0.0,0.0,2,68
2.322,1.0,0.0,0.0833,6,69
3.122,2.625,0.0929,0.6071,9,70
1.295,1.0,0.0,0.0,3,71
0.722,0.0,0.0,0.0,2,72
1.571,1.0,0.0,0.0,4,73
2.846,1.7,0.1667,0.4444,8,74
2.646,1.5,0.2143,0.0833,7,75
1.722,1.5,0.0,0.1667,4,76
1.771,2.0,0.0,0.1667,5,77
1.771,2.0,0.2333,0.1333,5,78
1.361,1.0,0.0,0.0,3,79
1.357,1.667,0.0,0.0,4,80
0.922,1.0,0.0,0.0,3,81
